编号,检索式
1,"((""self-esteem"" OR ""self concept"") AND (""psychological assessment"" OR ""psychometrics"") AND (""machine learning"" OR ""deep learning""))"
2,"((""self-esteem"" OR ""self-concept"") AND ""behavior prediction"" AND (""neural networks"" OR ""deep learning""))"
3,"((""self-esteem"" OR ""self concept"") AND ""psychological state prediction"" AND (""large language models"" OR ""LLM""))"
4,"((""self-esteem"" OR ""self concept"") AND ""cognitive processes"" AND (""natural language processing"" OR ""NLP""))"
5,"((""self-esteem"" OR ""self concept"") AND (""behavior analysis"" OR ""behavior prediction"") AND ""affective computing"")"
6,"((""self-esteem"" OR ""self concept"") AND ""psychological assessment"" AND (""multimodal analysis"" OR ""multimodal learning""))"
7,"(""self-esteem"" AND (""facial expression recognition"" OR ""speech emotion recognition""))"
8,"(""self concept"" AND (""feature extraction"" OR ""embedding"") AND ""machine learning"")"
9,"((""self-esteem"" OR ""self concept"") AND ""digital phenotyping"" AND ""neural networks"")"
10,"((""self-esteem"" OR ""self concept"") AND ""emotional state"" AND ""deep learning"")"
11,"(""self-esteem"" AND (""multimodal"" OR ""cross-modal"") AND ""psychological assessment"")"
12,"(""self concept"" AND (""NLP"" OR ""sentiment analysis"") AND ""behavior prediction"")"
13,"(""self-esteem"" AND ""stress detection"" AND (""machine learning"" OR ""deep learning""))"
14,"((""self-esteem"" OR ""self concept"") AND ""cognitive psychology"" AND ""neural networks"")"
15,"(""self-esteem"" AND ""emotion recognition"" AND ""deep learning"")"
16,"(""self concept"" AND ""affective computing"" AND (""speech analysis"" OR ""facial analysis""))"
17,"((""self-esteem"" OR ""self concept"") AND ""psychological state prediction"" AND (""transformers"" OR ""LLM""))"
18,"(""self-esteem"" AND (""behavior modeling"" OR ""behavior prediction"") AND (""AI"" OR ""machine learning""))"
19,"((""self-esteem"" OR ""self concept"") AND ""multimodal fusion"" AND ""psychological assessment"")"
20,"(""self-esteem"" AND (""emotion"" OR ""affective states"") AND ""computational psychology"")"
21,"(""self concept"" AND ""feature extraction"" AND ""deep learning"")"
22,"((""self-esteem"" OR ""self concept"") AND ""mental health detection"" AND ""neural networks"")"
23,"(""self-esteem"" AND (""stress"" OR ""anxiety"" OR ""depression"") AND ""machine learning"")"
24,"(""self concept"" AND ""behavior analysis"" AND ""AI-based assessment"")"
25,"((""self-esteem"" OR ""self concept"") AND ""emotion recognition"" AND ""multimodal analysis"")"
26,"(""self-esteem"" AND ""feature analysis"" AND ""deep neural networks"")"
27,"(""self concept"" AND ""linguistic feature analysis"" AND ""NLP"")"
28,"(""self-esteem"" AND (""psychological monitoring"" OR ""symptom monitoring"") AND ""AI"")"
29,"(""self-esteem"" AND ""affective computing"" AND (""transformer"" OR ""LLM""))"
30,"((""self-esteem"" OR ""self concept"") AND (""psychometrics"" OR ""psychological tests"") AND (""machine learning"" OR ""deep learning"" OR ""NLP""))"
31,"(""self-esteem"" AND ""psychometrics"" AND ""machine learning"")"
32,"(""self concept"" AND ""psychological profiling"" AND ""deep learning"")"
33,"(""self-esteem"" AND ""cognitive behavior"" AND ""neural networks"")"
34,"(""self-esteem"" AND ""behavior analysis"" AND ""AI-based assessment"")"
35,"(""self concept"" AND ""mental health detection"" AND ""machine learning"")"
36,"(""self-esteem"" AND ""psychological tests"" AND ""deep neural networks"")"
37,"(""self concept"" AND ""cognitive state prediction"" AND ""AI"")"
38,"(""self-esteem"" AND ""behavior modeling"" AND ""deep learning"")"
39,"(""self concept"" AND ""stress prediction"" AND ""neural networks"")"
40,"(""self-esteem"" AND ""emotion modeling"" AND ""machine learning"")"
41,"(""self-esteem"" AND ""linguistic analysis"" AND ""NLP"")"
42,"(""self concept"" AND ""psychological language analysis"" AND ""transformer"")"
43,"(""self-esteem"" AND ""sentiment features"" AND ""deep learning"")"
